2017-02-20-SA-REF-7,261860.055,4198984.745,3379.734,RefPoint
2017-02-20-SA-REF-8,261752.546,4198958.786,3367.632,RefPoint
2017-02-20-SA-REF-9,261667.367,4198993.561,3371.556,RefPoint
2017-02-20-SA-REF-10,261566.682,4198949.149,3376.825,RefPoint
2017-02-20-SA-SCN-1,261861.586,4198956.742,3380.476,ScanPos
2017-02-20-SA-SCN-2,261676.764,4199008.187,3376.084,ScanPos
2017-02-20-SA-SCN-3,261556.523,4198908.370,3376.309,ScanPos
2017-02-20-SA-SCN-4,261637.464,4198987.011,3372.833,ScanPos
2017-02-21-SBB-BASE,260815.480,4198314.519,3526.113,PPKbase
2017-02-21-SBB-REF-1,259991.183,4199691.484,3884.466,RefPoint
2017-02-21-SBB-REF-2,259918.586,4199714.338,3889.096,RefPoint
2017-02-21-SBB-REF-3,260015.838,4199510.851,3858.376,RefPoint
2017-02-21-SBB-REF-4,259833.392,4199393.729,3862.900,RefPoint
2017-02-21-SBB-REF-5,259879.961,4199306.306,3835.913,RefPoint
2017-02-21-SBB-REF-7,260244.491,4198995.422,3723.424,RefPoint
2017-02-21-SBB-REF-8,260461.740,4198998.465,3709.351,RefPoint
2017-02-21-SBB-REF-9,260236.274,4199126.449,3728.612,RefPoint
2017-02-21-SBB-SCN-1,259937.721,4199696.159,3888.336,ScanPos
2017-02-21-SBB-SCN-2,259894.011,4199307.872,3836.725,ScanPos
2017-02-21-SBB-SCN-3,260229.911,4199109.600,3728.560,ScanPos
2017-02-25-SA-BASE,261856.439,4198951.178,3379.641,PPKbase
2017-02-25-SA-REF-1,261869.592,4198918.582,3370.398,RefPoint
2017-02-25-SA-REF-2,261861.011,4198984.718,3379.934,RefPoint
2017-02-25-SA-REF-3,261754.951,4198959.322,3367.250,RefPoint
2017-02-25-SA-REF-4,261666.941,4198993.241,3371.563,RefPoint
2017-02-25-SA-REF-5,261563.024,4198945.544,3376.873,RefPoint
2017-02-25-SA-SCN-1,261862.661,4198957.327,3380.523,ScanPos
2017-02-25-SA-SCN-2,261677.608,4199009.350,3376.305,ScanPos
2017-02-25-SA-SCN-3,261556.666,4198908.271,3376.794,ScanPos
